level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
1147,1225,04/25/2019,"Gamma Radiation / Grand Junction, Colorado, United States / 2014","Points:(39.153355--108.682147),(39.015164--108.461139)","(39.153355,-108.682147)|(39.015164,-108.461139)",True,"39.015164, 39.153355, 39.153355, 39.015164","-108.461139, -108.461139, -108.682147, -108.682147"
1152,1230,04/25/2019,"Gamma Radiation / Hartford, Connecticut, United States / 2014","Points:(41.807678--72.719926),(41.727498-72.630154)","(41.807678,-72.719926)|(41.727498,72.630154)",True,"41.807678, 41.807678, 41.727498, 41.727498","-72.719926, 72.630154, 72.630154, -72.719926"
1157,1235,04/25/2019,"Gamma Radiation / Washington, District of Columbia, United States / 2014","Points:(38.912752--77.1526),(38.892713--76.905363)","(38.912752,-77.1526)|(38.892713,-76.905363)",True,"38.892713, 38.912752, 38.912752, 38.892713","-76.905363, -76.905363, -77.1526, -77.1526"
1162,1240,04/25/2019,"Gamma Radiation / Dover, Delaware, United States / 2014","Points:(39.181684--75.604754),(39.13149--75.401525)","(39.181684,-75.604754)|(39.13149,-75.401525)",True,"39.13149, 39.181684, 39.181684, 39.13149","-75.401525, -75.401525, -75.604754, -75.604754"
1167,1245,04/25/2019,"Annual Average Daily Vehicle Counts / Statewide Hawaii, United States / 2016","Points:(18.9117--160.2471),(22.2356--154.8066)","(18.9117,-160.2471)|(22.2356,-154.8066)",True,"22.2356, 22.2356, 18.9117, 18.9117","-154.8066, -160.2471, -160.2471, -154.8066"
1173,1251,04/22/2019,"Annual Average Daily Vehicle Counts / Statewide Washington, United States / 2016","Points:(49.042512--124.67325),(45.505057--116.864661)","(49.042512,-124.67325)|(45.505057,-116.864661)",True,"45.505057, 49.042512, 49.042512, 45.505057","-116.864661, -116.864661, -124.67325, -124.67325"
1177,1255,04/15/2019,"Vehicle Counts / Statewide Wyoming, United States / 2015","Points:(41.002951--111.403792),(45.001079--104.053404)","(41.002951,-111.403792)|(45.001079,-104.053404)",True,"45.001079, 45.001079, 41.002951, 41.002951","-104.053404, -111.403792, -111.403792, -104.053404"
1186,1264,04/01/2019,"Specific Conductance / Gibbon River, Yellowstone National Park, United States / 2018","Points:(44.12013--111.23726),(44.02343--111.04362)","(44.12013,-111.23726)|(44.02343,-111.04362)",True,"44.02343, 44.12013, 44.12013, 44.02343","-111.04362, -111.04362, -111.23726, -111.23726"
1187,1265,04/01/2019,"Specific Conductance / Gibbon River, Yellowstone National Park, United States / 2017","Points:(44.64838--110.84819),(44.63629--110.8663)","(44.64838,-110.84819)|(44.63629,-110.8663)",True,"44.64838, 44.64838, 44.63629, 44.63629","-110.84819, -110.8663, -110.8663, -110.84819"
1191,1269,04/01/2019,"Specific Conductance / Madison River, Western Yellowstone National Park, United States / 2014","Points:(44.6627--111.0295),(44.6447--111.0538)","(44.6627,-111.0295)|(44.6447,-111.0538)",True,"44.6627, 44.6627, 44.6447, 44.6447","-111.0295, -111.0538, -111.0538, -111.0295"
1192,1270,04/01/2019,"Specific Conductance / Snake River, Yellowstone National Park, United States / 2018","Points:(44.1042--110.6613),(44.0941--110.6744)","(44.1042,-110.6613)|(44.0941,-110.6744)",True,"44.1042, 44.1042, 44.0941, 44.0941","-110.6613, -110.6744, -110.6744, -110.6613"
1197,1275,04/01/2019,"Specific Conductance / Tantalus Creek, Yellowstone National Park, United States / 2018","Points:(44.73451--110.711417),(44.731187--110.7152)","(44.73451,-110.711417)|(44.731187,-110.7152)",True,"44.73451, 44.73451, 44.731187, 44.731187","-110.711417, -110.7152, -110.7152, -110.711417"
